Type,Price,Location,Area,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views
apartment,900.0,Chotrana 1,70,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,1800.0,Les Berges Du Lac 2,70,1,1,New,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no
apartment,650.0,Bouhssina,55,1,1,New,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,1300.0,La Soukra,117,2,1,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,1400.0,Sidi Frej,230,3,1,Good condition,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,2000.0,Chotrana 1,130,2,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,yes,yes,yes,no
apartment,1400.0,La Soukra,120,2,2,Good condition,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1600.0,Les Jardins de Carthage,60,1,1,New,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
apartment,1050.0,Chotrana 1,60,1,11,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,1500.0,Cité El Wafa,120,3,1,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
apartment,4500.0,Les Berges Du Lac 2,360,4,4,New,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no
apartment,1250.0,Nabeul,150,3,1,Good condition,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes
apartment,900.0,Cité El Wafa,130,3,1,Good condition,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
house,4500.0,Les Berges Du Lac 2,250,3,2,New,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,4000.0,Les Berges Du Lac 1,300,4,2,Good condition,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,1600.0,Avenue Khezama,147,2,2,New,yes,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
apartment,1300.0,La Soukra,95,2,2,New,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,950.0,Ain Zaghouan Nord,85,1,1,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no
house,2300.0,Ain Zaghouan Nord,146,3,2,New,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no
apartment,2800.0,Les Berges Du Lac 1,120,2,1,Good condition,no,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no
house,1600.0,Les Berges Du Lac 1,100,2,1,Good condition,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no
apartment,950.0,Aouina,85,1,1,Good condition,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,850.0,Le Kram,85,3,1,Good condition,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,750.0,Aouina,75,1,1,Good condition,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,7500.0,Sidi Bousaid,800,5,4,Good condition,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes
apartment,3800.0,Cité El Hana,250,3,1,New,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,3200.0,Cité Les Pins,300,3,2,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,1600.0,Gammarth,80,1,1,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1700.0,Cité Du Stade,85,2,2,New,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1600.0,Les Jardins de Carthage,120,2,2,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1200.0,Aouina,67,1,1,Good condition,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1200.0,Les Jardins de Carthage,67,1,1,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,750.0,Sousse Riadh inSousse Riadh,110,2,1,New,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
house,950.0,Aouina,85,1,1,Good condition,yes,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2000.0,La Marsa,110,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no
apartment,3000.0,Sidi Daoued,110,3,2,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no
apartment,1050.0,Cité El Khalil,85,2,1,Good condition,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,750.0,Aouina,65,1,1,Good condition,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1700.0,Les Jardins de Carthage,110,2,2,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no
apartment,1300.0,Aouina,115,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no
apartment,1900.0,Aouina,170,3,2,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,yes,yes,no
apartment,1300.0,Hammamet,100,1,1,New,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
apartment,1800.0,El Manar 2,145,2,1,Good condition,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no
apartment,1700.0,La Soukra,152,3,2,Good condition,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,8000.0,La Soukra,1000,4,3,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no
apartment,4000.0,La Soukra,250,3,3,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,1050.0,Chotrana 1,80,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,1450.0,Chotrana 3,65,1,1,New,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
house,4000.0,Les Berges Du Lac 2,250,3,1,Good condition,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no
house,1600.0,Chatt Meriem,600,3,2,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
apartment,1000.0,Hammamet,90,2,1,Good condition,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no
house,3500.0,La Marsa,300,3,3,Good condition,yes,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,1550.0,Aouina,60,1,1,New,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
apartment,1500.0,Les Jardins de Carthage,60,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,1750.0,Les Jardins de Carthage,85,2,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,3500.0,La Marsa,120,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2500.0,Les Berges Du Lac 2,110,2,1,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes
house,9000.0,Sidi Bousaid,250,4,2,Good condition,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no
house,7500.0,Gammarth,450,5,4,New,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no
apartment,3500.0,La Marsa,180,2,3,Good condition,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes
house,850.0,Cité Ennkhilet,150,3,1,Good condition,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
apartment,3800.0,Gammarth,130,2,1,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,yes
apartment,2300.0,Les Jardins de Carthage,110,2,1,New,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
house,5300.0,Sidi Bousaid,600,5,3,Good condition,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no
apartment,1500.0,Les Berges Du Lac 1,60,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no
house,7000.0,Les Jardins de Carthage,437,7,4,Good condition,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no
apartment,1450.0,La Marsa,120,3,2,Good condition,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,850.0,Village Mediterranee inRades,120,2,1,Good condition,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,no
house,4500.0,Cité Les Pins,350,3,2,Good condition,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
house,3000.0,La Marsa,300,4,2,Good condition,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,1000.0,Tazarka,300,4,2,New,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no
apartment,950.0,El Kantaoui,370,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no
apartment,1550.0,La Soukra,130,2,2,Good condition,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,120.0,Aouina,118,2,1,Good condition,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no
house,5000.0,Gammarth,400,4,2,Good condition,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
apartment,2500.0,Sidi Daoued,120,2,3,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no
apartment,2400.0,La Marsa,85,2,2,New,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no
apartment,1100.0,El Menzah 9,90,2,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,yes,yes,no,no,no
apartment,1700.0,El Menzah 9,180,3,3,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no
apartment,2800.0,Les Jardins de Carthage,140,2,1,New,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,no
apartment,1650.0,Aouina,110,2,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1300.0,Aouina,100,2,1,New,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,3800.0,Les Berges Du Lac 2,100,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes
apartment,3300.0,Les Berges Du Lac 2,160,4,2,Good condition,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,5200.0,Les Berges Du Lac 2,200,3,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes
apartment,2500.0,Les Berges Du Lac 2,80,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,120.0,Zarzis,90,2,2,Good condition,yes,yes,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes
apartment,849.0,Cité Ennasr 2,100,2,1,Good condition,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2100.0,Centre Urbain Nord,200,4,2,Good condition,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,yes,yes,yes,yes,no
apartment,1790.0,Les Jardins d'El Menzah 2,120,2,2,New,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no
apartment,1300.0,La Soukra,70,1,1,New,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2500.0,La Marsa,180,3,3,Good condition,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1200.0,Aouina,115,2,1,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1200.0,Cité Ennasr 2,78,1,1,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,2200.0,Aouina,209,4,2,New,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no
apartment,1600.0,Cité Du Stade,100,2,2,New,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,2200.0,Les Berges Du Lac 2,150,3,1,New,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2650.0,Les Berges Du Lac 2,180,3,2,New,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,9500.0,Les Berges Du Lac 2,300,4,5,New,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no
apartment,4500.0,Les Berges Du Lac 2,300,4,3,Good condition,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,no,no
apartment,1250.0,Cité Ennasr 2,60,2,1,Good condition,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,1100.0,Riadh al Andalous,75,2,1,New,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
house,4500.0,Les Berges Du Lac 2,450,4,2,New,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,4500.0,Les Berges Du Lac 2,300,3,2,New,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no
apartment,1350.0,El Kantaoui,95,2,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
apartment,950.0,Bou Mhel inBoumhel Bassatine,100,2,1,New,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
house,6000.0,La Marsa,300,3,3,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
house,1600.0,La Marsa,120,2,2,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,4000.0,La Marsa,250,4,3,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,2000.0,La Marsa,120,2,1,Good condition,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,4500.0,La Marsa,140,2,3,New,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no
apartment,2200.0,La Marsa,50,1,1,New,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no
house,6000.0,Gammarth,200,3,2,Good condition,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes
apartment,1200.0,Gammarth Village,120,2,1,Good condition,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,9000.0,Gammarth,200,4,5,New,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no
apartment,1600.0,Les Jardins de Carthage,80,1,1,Good condition,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no
house,2200.0,Les Berges Du Lac 1,120,2,2,Good condition,yes,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,750.0,Bou Mhel inBoumhel Bassatine,55,1,1,New,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
house,1600.0,Les Berges Du Lac 1,90,1,1,Good condition,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no
apartment,1500.0,Ain Zaghouan Nord,80,1,1,New,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no
apartment,1000.0,Riadh al Andalous,105,3,1,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,850.0,Bou Mhel inBoumhel Bassatine,100,3,2,New,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,850.0,Aouina,60,1,1,New,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,600.0,Hammam Sousse,75,1,1,Good condition,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1600.0,Cité Les Pins,92,3,1,Good condition,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,600.0,Tantana,70,2,1,Good condition,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
apartment,3100.0,Les Berges Du Lac 2,150,4,2,Good condition,yes,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no
house,3000.0,El Menzah 9,300,5,2,Good condition,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
apartment,3100.0,Les Berges Du Lac 2,200,3,2,Good condition,yes,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
house,1600.0,Centre Urbain Nord,120,2,1,Good condition,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
house,2500.0,Gammarth,540,4,2,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no
apartment,1500.0,Ain Zaghouan Nord,60,1,1,New,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,9000.0,Gammarth,500,4,4,Good condition,yes,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
apartment,550.0,Chott Meriem,65,1,1,Good condition,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no
apartment,550.0,Hammam Sousse,100,1,1,Good condition,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no
apartment,500.0,Sahloul,35,1,1,Good condition,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no
apartment,1000.0,Cité El Wafa,100,2,1,New,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,2000.0,Cité El Wafa,128,2,2,New,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,no
apartment,850.0,Cité El Wafa,60,1,1,New,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no
apartment,500.0,Sousse Riadh inSousse Riadh,50,1,1,Good condition,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no
house,850.0,Menzel Jemil,380,3,1,Good condition,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes
apartment,3200.0,Gammarth,116,2,1,Good condition,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,2500.0,Hammamet,130,2,1,New,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
house,5500.0,La Marsa,200,4,2,Good condition,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no
house,4200.0,Raoued,450,5,4,New,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
house,2750.0,Sidi Daoued,200,3,4,Good condition,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
apartment,2200.0,Les Jardins de Carthage,50,1,1,New,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no
apartment,5000.0,Gammarth,150,2,2,New,yes,yes,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,no,no,no
apartment,1300.0,Sidi Daoued,85,2,1,Good condition,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no
apartment,1600.0,Les Jardins de Carthage,50,1,1,New,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no
house,1050.0,La Soukra,115,2,1,New,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1900.0,Hammamet,150,3,1,New,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes
apartment,1100.0,Sidi El Mahrsi,68,1,1,Good condition,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no
apartment,1200.0,Aouina,64,1,1,Good condition,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no
house,950.0,Salambo,85,2,1,Good condition,yes,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no
apartment,1200.0,El Menzah 9,100,2,1,Good condition,yes,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no
house,1050.0,Cité El Khalil,90,2,1,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,850.0,Ain Zaghouan Nord,64,1,1,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no
apartment,1050.0,La Marsa,90,2,1,Good condition,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
apartment,1500.0,Les Jardins de Carthage,70,1,1,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no
apartment,1000.0,El Menzah 9,90,1,1,New,yes,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no
apartment,600.0,Sahloul,70,2,1,Good condition,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
house,3000.0,Sidi Daoued,140,3,2,Good condition,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no
apartment,750.0,Aouina,50,1,1,Good condition,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no
house,7500.0,La Marsa,600,4,3,Good condition,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
house,7500.0,La Marsa,300,3,3,Good condition,yes,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,no,no
house,4500.0,Carthage,280,4,4,New,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no
apartment,2200.0,Les Jardins de Carthage,90,1,1,New,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no
